Question	Answer	Source
Публикация протокола рассмотрения заявок	 Для публикации протокола рассмотрения заявок:1.  Перейдите в раздел "Закупки" и выберите нужную процедуру;\n2.  Перейдите по ссылке "Рассмотрите заявки" или откройте извещение и нажмите кнопку "Открыть форму протокола рассмотрения заявок";\n3.  В разделе "Общие сведения о протоколе" укажите дату подписания протокола;\n4.  Чек-бокс "Включать наименования участников в протокол".  По умолчанию галочка в чек-боксе установлена. Если галочка не поставлена в чек-боксе, то в опубликованном протоколе вместо наименования Участника отправляются данные следующего формата: "Участник <порядковый номер заявки>". При необходимости снимите галочку с чек-бокса;\n5.  При необходимости укажите тип голосования по заявкам и выберите комиссию. Согласно п. 84 раздела 3 ПП РФ № 615, комиссия по осуществлению закупок правомочна осуществлять свои функции, если на ее заседании присутствует не менее половины общего числа ее членов;\n6.  В разделе "Сведения протокола рассмотрения заявок" укажите решение по заявкам: "Допущен" или "Не допущен";\n7.  В разделе "Формирование протокола из шаблона" прикрепите печатную форму протокола. Файл может быть добавлен несколькими способами:Для формирования и прикрепления сканированной копии протокола:*   Нажмите кнопку "Сформировать";\n*   Система сформирует печатную версию протокола. Данную копию протокола можно распечатать, подписать членам комиссии и отсканировать;Для прикрепления подготовленного протокола нажмите ссылку "Прикрепить файл протокола".Для формирования и прикрепления протокола без рукописных подписей (в формате текстового документа):*   Нажмите кнопку "Сформировать и прикрепить".1.  Для публикации протокола нажмите кнопку "Подписать и опубликовать".Протокол будет опубликован. 	Editorial
Изменение опубликованного протокола / замена файла протокола	**Изменение опубликованного протокола:**После того как протокол рассмотрения заявок опубликован появляется возможность изменить опубликованный протокол или заменить файл протокола.Условия изменения опубликованного протокола:*   Изменение возможно до 19:00 часа (по московскому времени) дня, следующего за днем публикации протокола;\n*   Изменить результаты протокола возможно один раз.Для изменения опубликованного протокола:1.  В Личном кабинете войдите в раздел "Закупки";\n2.  Откройте нужную процедуру, нажав на номер извещения;\n3.  Перейдите в раздел "Протоколы лота";\n4.  Нажмите на форму "Открыть форму протокола рассмотрения заявок";\n5.  Нажмите кнопку "Изменить опубликованный протокол";\n6.  Укажите причину отмены протокола и нажмите кнопку "Отменить протокол";\n7.  Откроется ранее заполненная форма протокола. Статус протокола изменится на "Формирование";\n8.  Внесите изменения и нажмите кнопку "Подписать и опубликовать".**Замена файла протокола:**Заменить файл печатной формы протокола Заказчик может только в том случае, если ошибка была допущена именно в файле печатной формы протокола. При этом в электронной форме протокола ошибок быть не должно.Условия замены файла протокола:*   Заменить файл печатной формы протокола можно на любом этапе проведения закупки;\n*   Количество замен протоколов может быть неограниченно;\n*   Расширение файла, выбранного для замены, должно совпадать с расширением файла, прикрепленного ранее.Для замены печатной формы протокола:1.  В Личном кабинете войдите в раздел "Закупки";\n2.  Откройте нужную процедуру, нажав на номер извещения;\n3.  Перейдите в раздел "Протоколы лота";\n4.  Нажмите на форму "Открыть форму протокола рассмотрения заявок";\n5.  В разделе "Прикрепление протокола рассмотрения заявок" нажмите на ссылку "Заменить файл".Файл изменится на новый.	Editorial
Просмотр количества поданных заявок до окончания срока подачи заявок	 "Для просмотра количества поданных заявок, если еще не закончился срок подачи заявок:1.  В Личном кабинете войдите в раздел "Закупки";\n2.  В таблице со списком процедур в столбце "Заявки" первое число указывает сколько заявок подано.Просмотреть информацию о поданных заявках Участников до окончания срока подачи заявок нет."	Editorial
Создание и публикация новой процедуры	 Для создания и публикации новой процедуры:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе "Закупки" нажмите кнопку "Создать извещение";\n3.  Выберите "Аукцион";\n4.  Заполните открывшуюся форму "Формирование черновика извещения";\n5.  После заполнения формы извещения нажмите кнопку "Опубликовать", расположенную внизу формы.\n6.  В появившемся окне подтвердите публикацию закупки нажатием кнопки  "Продолжить".В случае успешной публикации на экране появится уведомление о том, что процедура опубликована  статус изменится на  "Опубликована".После того как извещение опубликовано всем Участникам, допущенным по результатам предварительного отбора приходят уведомления (приглашения) об участии в процедуре. Заказчику направляется уведомление по факту рассылки приглашений Участникам для участия в электронном аукционе по ПП РФ №615, содержащее список Участников, которым были направлены приглашения.	Editorial
Создание и сохранение черновика процедуры	 Для создания и сохранения черновика процедуры:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе "Закупки" нажмите кнопку "Создать извещение";\n3.  Выберите "Аукцион";\n4.  Заполните открывшуюся форму "Формирование черновика извещения";\n5.  Нажмите кнопку "Сохранить черновик".Сохраненный черновик будет отображаться в разделе "Закупки".	Editorial
Создание извещения путем копирования существующего	 "При создании извещения Вы можете вручную заполнять  "пустую" форму черновика извещения либо скопировать извещение из ранее созданных.Создание извещения путем копирования существующего возможно 2 способами:**1 способ: ** В разделе "Закупки" откройте нужное извещение и вверху страницы нажмите кнопку "Создать копию извещения". Таким способом может быть создана закупка из извещений, которые уже опубликованы в Личном кабинете Заказчика.При нажатии кнопки откроется черновик извещения, заполненный сведениями из закупки, которую копируете. Все поля активны для редактирования. Внесите нужные изменения и опубликуйте созданное извещение.**2 способ:** В разделе "Закупки" в табличной форме найдите нужную закупку и в столбце "Навигация" нажмите ссылку "Копировать". Таким способом может быть создана закупка из извещений, находящихся в любом статусе, включая "Формирование".При нажатии ссылки "Копировать" откроется черновик извещения, заполненный сведениями из закупки, которую копируете. Все поля активны для редактирования. Внесите нужные изменения и опубликуйте созданное извещение."	Editorial
Заполнение извещения "Электронный аукцион"		Editorial
Внесение изменений в опубликованную процедуру	 Для внесения изменений в опубликованную процедуру:1.  В разделе «Процедуры» выберите нужную закупку и нажмите на ее номер;\n2.  В открывшейся форме «Просмотр извещения» нажмите кнопку «Внести изменения»;\n3.  В открывшейся форме «Внесение изменений в процедуру» отредактируйте необходимые поля;\n4.  Нажмите кнопку «Опубликовать изменения», расположенную внизу формы;\n5.  В открывшемся окне введите причину внесения изменений в поле «Основание внесения изменения»;\n6.  Нажмите кнопку «Продолжить».  \n\n  	Editorial
Отказ от проведения предварительного отбора	 Для отказа от проведения процедуры:1.  Перейдите в раздел "Процедуры" и откройте необходимую процедуру;\n2.  В верхней части извещения нажмите кнопку "Отказ от проведения";\n3.  Заполните поля: "Дата принятия решения" и "Причина отказа от проведения процедуры";\n4.  При необходимости прикрепите файл. После публикации отмены процедуры прикрепленный файл отобразится в извещении в разделе "Документы". \n5.  Нажмите кнопку "Опубликовать".Статус процедуры и лота изменится на "Отменена".Если в окне "Отказ от проведения закупки" включен параметр "Процедура аннулирована", то при публикации отмены процедура перейдет в статус "Аннулирована".  	Editorial
Предоставление ответа по запросу на разъяснение документации	 Для ответа по запросу на разъяснение документации:1.  Войдите в раздел «Запросы», далее «Запросы на разъяснение документации»;\n2.  Нажмите на номер запроса;\n3.  В нижней части формы в разделе «Разъяснение положений документации закупки» в поле «Текст разъяснения» введите текст ответа;\n4.  Прикрепите документ;\n5.  В верхней части формы нажмите кнопку «Отправить разъяснение»;\n6.  Выберите электронную подпись и нажмите «ОК».Статус запроса изменится на «Отправлено разъяснение».	Editorial
Просмотр запросов на разъяснение документации	Для просмотра запросов на разъяснение/ответов на отправленные запросы:1.  Войдите в Личный кабинет;\n2.  Перейдите в раздел «Запросы»;\n3.  Откройте реестр запросов на разъяснение документации.	Editorial
Публикация протокола проведения предварительного отбора	 Для публикации протокола проведения предварительного отбора:1.  Перейдите в раздел "Закупки" или "Процедуры" / "Поиск процедур" и выберите нужную процедуру;\n2.  Перейдите по ссылке "Рассмотрите заявки" или откройте извещение и нажмите кнопку "Открыть форму протокола проведения предварительного отбора";\n3.  В разделе "Общие сведения о протоколе" укажите дату подписания протокола;\n4.  При необходимости укажите тип голосования по заявкам и выберите комиссию;\n5.  В разделе "Сведения протокола проведения предварительного отбора" укажите решение по заявкам: "Включить в реестр" или "Отказать во включении в реестр";\n6.  В разделе "Формирование протокола из шаблона" прикрепите печатную форму протокола. Файл может быть добавлен несколькими способами:Для формирования и прикрепления сканированной копии протокола:*   Нажмите кнопку "Сформировать";\n*   Система сформирует печатную версию протокола. Данную копию протокола можно распечатать, подписать членам комиссии и отсканировать;\n*   Для прикрепления подготовленного протокола нажмите ссылку "Прикрепить файл протокола".Для формирования и прикрепления протокола без рукописных подписей (в формате текстового документа):*   Нажмите кнопку "Сформировать и прикрепить".1.  Для публикации протокола нажмите кнопку "Подписать и опубликовать".Протокол будет опубликован. Информация об Участниках, по которым принято решение о включении в реестр, будет включена в реестр перечней квалифицированных поставщиков.	Editorial
Просмотр Заказчиком заявок на участие, поданных на участие в предварительном отборе	Для просмотра Заказчиком заявок на участие, поданных на участие в предварительном отборе, Органу по ведению реестра требуется добавить в свой Личный кабинет пользователя Заказчика без электронной подписи. В дальнейшем добавленный пользователь Заказчика сможет просматривать поданные заявки без возможности публикации протокола проведения предварительного отбора.	Editorial
Внесение изменений в протокол проведения предварительного отбора		Editorial
Просмотр реестра квалифицированных подрядных организаций	Для перехода к реестру квалифицированных подрядных организаций:1.  Войдите в Личный кабинет Органа, ответственного за ведение реестра;\n2.  Перейдите в раздел "РКПО";\n3.  В разделе "Реестр квалифицированных подрядных организаций" отображается список подрядных организаций, включенных в РКПО по итогам предварительного отбора.	Editorial
Редактирование информации об Участнике и перечня подрядных организаций в Реестре квалифицированных подрядных организаций	 Для редактирования сведений о подрядной организации:1.  Войдите в Личный кабинет;\n2.  Перейдите в раздел «РКПО»;\n3.  Нажмите на номер Участника;\n4.  Откроется карточка квалифицированной подрядной организации. Для внесения изменений в сведения об организации нажмите кнопку «Редактировать»;\n5.  Откроется форма редактирования информации об Участнике. После внесения необходимых изменений нажмите кнопку «Сохранить»;\n6.  Появится окно об успешном сохранении данных.Также из информации о квалифицированной подрядной организации реализована возможность просмотреть и отредактировать перечень квалифицированных поставщиков, сформированный на основании протокола проведения предварительного отбора:1.  Для просмотра перечня квалифицированных поставщиков в карточке квалифицированной подрядной организации нажмите кнопку «К перечню».\n2.  Откроется форма просмотра перечня квалифицированных поставщиков. Для внесения изменения в данный перечень нажмите кнопку «Редактировать».\n3.  Откроется форма редактирования перечня квалифицированных поставщиков, сформированного по итогам проведения предварительного отбора. В форме редактирования перечня существует возможность добавить поставщика в реестр квалифицированных подрядных организаций, для этого необходимо нажать кнопку «Добавить поставщика».\n4.  Откроется форма создания квалифицированной подрядной организации. После заполнения всех полей формы нажмите «Сохранить».	Editorial
Исключение Участника из реестра квалифицированных подрядных организаций	В случае установления одного из фактов для исключения Участника комиссия по проведению предварительного отбора в срок не позднее 5 рабочих дней, следующих после дня установления таких фактов, принимает решение об исключении подрядной организации из Реестра квалифицированных подрядных организаций. Протокол об исключении подрядной организации из Реестра квалифицированных подрядных в срок не позднее 3 дней направляется в Орган по ведению реестра.   \n В течение 2 рабочих дней со дня поступления документов Орган по ведению реестра исключает из Реестра квалифицированных подрядных организаций информацию о подрядной организации полностью или в части соответствующего предмета электронного аукциона, в котором больше не имеет право принять участие подрядная организация, включенная в Реестр квалифицированных подрядных организаций. Для исключения Участника из Реестра квалифицированных подрядных организаций:1.  Войдите в Личный кабинет;\n2.  Перейдите в раздел «РКПО»;\n3.  Нажмите на номер Участника;\n4.  Откроется карточка квалифицированной подрядной организации. Для исключения Участника из реестра квалифицированных подрядных организаций нажмите кнопку «Исключить»;\n5.  В открывшемся окне укажите дату исключения из реестра, причину исключения и при необходимости прикрепите документ. После заполнения формы исключения из перечня нажмите кнопку «Исключить»;\n6.  Для подтверждения исключения Участника из реестра квалифицированных подрядных организаций нажмите кнопку «Продолжить». Участник будет исключен. В созданный перечень подрядных организаций можно добавлять новых Участников, исключать или редактировать имеющихся.	Editorial
