Question	Answer	Source
Заполнение полей "Имя пользователя (логин)" / "Пароль"	При заполнении формы первичной аккредитации предъявляются следующие требования:**Поле "Имя пользователя (логин)":***   Логин должен быть уникальным (ранее не использовался);\n*   Должен содержать от 3 до 20 букв или цифр;\n*   Не должен содержать знаки препинания, пробелы и символы.**Поле "Пароль":***   Пароль должен содержать минимум 8 символов, включающих буквы и цифры;\n*   Должен содержать хотя бы один из специальных символов: ! @ # $ % ^ * _ + () {} : ; . , ? / <>.	Editorial
Раздел "Юридический / Почтовый адрес"	Особенности заполнения раздела:**В разделе "Юридический адрес"** указывается адрес организации в соответствии с учредительными документами. Для заполнения раздела:*   В поле "Страна" по умолчанию проставлено значение "Российская Федерация";\n*   В полях "Регион", "Район", "Город", "Населенный пункт" выберите из выпадающего списка нужное значение. Если поле не требует заполнения, в выпадающем списке выберите прочерк;\n*   Заполните с клавиатуры обязательные поля "Улица", "Почтовый индекс", "Дом/строение/корпус", "Офис/Квартира";\n*   Поле "ОКАТО" заполняется автоматически после заполнения других полей раздела.**В разделе "Почтовый адрес"** указывается адрес организации, используемый для направления почтовых сообщений. По умолчанию в разделе установлена галочка в поле "Совпадает с юридическим адресом". Если почтовый адрес не совпадает с юридическим, уберите галочку и заполните появившиеся поля по аналогии с заполнением полей в разделе "Юридический адрес".	Editorial
Автоматическая аккредитация Участников, ранее аккредитованных по 44-ФЗ	Если при прохождении аккредитации Вы выберите сертификат из списка, который соответствует условиям автоматический аккредитации, то заявка автоматически заполнится актуальными данными из Личного кабинета РТС-тендер по 44-ФЗ (редактирование полей заявки недоступно).Вверху страницы появится сообщение "Выбранный сертификат используется Вами для участия в закупках, проводимых по Федеральному закону №44-ФЗ. Изменение сведений о пользователе и(или) сертификата будет возможно после утверждения заявки на аккредитацию" (сообщение является информационным, означает, что под этим же сертификатом проводилась аккредитация по 44-ФЗ и возможности отредактировать открытую заявку на аккредитацию в данный момент нет) и кнопка "Очистить". При нажатии на кнопку "Очистить" откроется пустая форма заявки на аккредитацию (кнопка "Очистить" предоставляет возможность для выбора другого сертификата. Если пользователь выберет тот же сертификат, форма заявки на аккредитацию вновь заполнится автоматически).Заполните обязательные поля: "Имя пользователя (логин)", "Пароль", "Кодовое слово". Далее подайте заявку (нажмите кнопку "Подать заявку на аккредитацию").После отправки такой заявки на аккредитацию дождитесь ее утверждения.При необходимости после получения автоматической аккредитации, Вы можете в Личном кабинете внести изменения и отредактировать сведения о своей организации.**Условия автоматической аккредитации **(автоматически пройти процедуру аккредитации клиент может в качестве Участника и Заказчика):*   Пользователь аккредитован в качестве Поставщика по 44-ФЗ на ЭП РТС-тендер;\n*   В сертификате, по которому пользователь проходит аккредитацию, присутствует роль "Специалист с правом подписи контракта".	Editorial
Регистрация на площадке по 223 ФЗ. С чего начать Поставщику/Заказчику	"Для того, чтобы принимать участие в процедурах на площадке по 223-ФЗ:1.  Получите электронную подпись (см.ст. "<span style="color:#000000;font-family:calibri, arial, helvetica, sans-serif;font-size:14px;">[Виды электронных подписей, с которой можно работать на площадке](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=6291)")</span>\n2.  Настройте рабочее место для работы на площадке (см.ст."<span style="color:#000000;font-family:calibri, arial, helvetica, sans-serif;font-size:14px;">[Настройка рабочего места для работы по 223 ФЗ](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=6431)</span>");\n3.  Пройдите процедуру аккредитации на площадке. Процедура аккредитации на площадке РТС-тендер бесплатная".	Editorial
Подача заявки на аккредитацию после отклонения	 Если Ваша заявка на аккредитацию отклонена, Вы можете внести изменения в заявку и повторно ее направить.На площадке существует два способа для повторной подачи заявки:	Editorial
Дополнительная аккредитация в качестве Заказчика/Поставщика	Дополнительную аккредитацию в качестве Поставщика/Заказчика можно пройти подав заявку на редактирование сведений об организации из Личного кабинета.Для подачи заявки:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Моя организация", далее в "Информация об организации";\n3.  Во вкладке "Карточка организации" нажмите кнопку "Создать заявку на внесение изменений". Откроется форма "Редактирование информации";\n4.  Установите галочку в чек-боксе "Роли организации в закупках";\n5.  При необходимости внесите изменения в форму заявки;\n6.  После внесения изменений нажмите в нижней части страницы кнопку "Подать заявку на редактирование".Изменения утверждаются системой автоматически.	Editorial
Редактирование заявки на аккредитацию	**Ответ Оператора**: Редактирование заявки на аккредитацию доступно только после рассмотрения заявки Оператором.Если статус заявки на аккредитацию:*   "Подана" / "На рассмотрении" - редактирование невозможно;\n*   "Отклонена" - Вы можете внести изменения и повторно подать заявку;\n*   "Утверждена" - Вы можете в Личном кабинете внести изменения в сведения об организации.	Editorial
Подача заявки на аккредитацию	  Чтобы подать заявку на аккредитацию:1.  На главной странице РТС-тендер перейдите в раздел "223-ФЗ";\n2.  Выберите раздел "Заказчикам" или "Участникам";\n3.  Перейдите в раздел "Аккредитация";\n4.  Заполните форму заявки (см. статью "[Заполнение формы заявки на аккредитацию](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=6215)");\n5.  Нажмите кнопку "Подать заявку на аккредитацию".После того, как заявка на аккредитацию отправлена, Вам необходимо подтвердить адрес электронной почты, указанный в заявке как основной для дальнейшего получения уведомлений от площадки.	Editorial
Подтверждение адреса электронной почты 	"Для подтверждения адреса электронной почты:1.  Откройте через браузер Internet Explorer ящик электронной почты, который был указан в заявке на аккредитацию;\n2.  Перейдите по ссылке в письме, автоматически направленном площадкой при отправке заявки на рассмотрение. После подтверждения на данный адрес будут приходить все уведомления от площадки".	Editorial
Автоматическая аккредитация Заказчиков	 Если при прохождении аккредитации Вы выберите сертификат из списка, который соответствует условиям автоматический аккредитации, то заявка частично заполнится автоматически.Заполните обязательные поля: "Имя пользователя (логин)", "Пароль", "Кодовое слово" и др. Добавление документов не требуется (раздел "Документы заявителя" в заявке отсутствует. Далее подайте заявку (нажмите кнопку "Подать заявку на аккредитацию".)После отправки такой заявки на аккредитацию, система автоматически утвердит ее. Ожидать рассмотрения такой заявки не требуется.При необходимости после получения автоматической аккредитации, Вы можете в Личном кабинете внести изменения и отредактировать сведения о своей организации.**Условия автоматической аккредитации:***   Наличие действующей электронной подписи (осуществляется проверка системой по сроку действия сертфиката и не отозван ли он);\n*   Наличие в электронной подписи ИНН/КПП/ОГРН Заказчика как юридического лица;\n*   Наличие организации в реестре Заказчиков по 223-ФЗ в ЕИС;\n*   ФИО пользователя из электронной подписи соответствует ФИО руководителя в выписке из ЕГРЮЛ.	Editorial
Автоматическая аккредитация Участника по 223-ФЗ при аккредитации по 44-ФЗ	На площадке РТС-тендер реализована возможность при прохождении аккредитации по 44-ФЗ дополнительно получить аккредитацию по 223-ФЗ в качестве Участника. Для этого в форме заявки на аккредитацию по 44-ФЗ по умолчанию включен чек-бокс "Аккредитовать в качестве поставщика на электронной площадке РТС-тендер "Универсальная платформа для корпоративных закупок". В случае если чек-бокс включен, то происходит взаимодействие с площадкой по 223-ФЗ на этапе аккредитации Участника:*   Если заявка на аккредитацию по 44-ФЗ утверждена, то происходит автоматическая аккредитация Участника по 223-ФЗ. Участник получит соответствующее уведомление об аккредитации по 44-ФЗ и по 223-ФЗ;\n*   Если заявка на аккредитацию по 44-ФЗ отклонена, то аккредитация Участника по 223-ФЗ не осуществляется.После получения аккредитации на площадках у Вас будет два разных Личных кабинета. Все действия по внесению изменений, добавлению пользователя выполняются в Личном кабинете на каждой площадке.	Editorial
Сроки рассмотрения заявки на аккредитацию	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки", заявка на аккредитацию рассматривается Оператором в течение 5 рабочих дней с даты ее направления Оператору".	Editorial
Срок действия аккредитации	В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" аккредитация Клиента ЭП является бессрочной.	Editorial
Аккредитована ли организация на ЭП 	1.  Уточните ИНН организации;\n2.  В [Личном кабинете Оператора ](https://223.rts-tender.ru/supplier/sso/Login.aspx?ReturnUrl=%2fsupplier%2fsso%2f)по ИНН проверьте наличие организации в разделе "Реестр участников закупок": Справочники / Реестр участников закупок:*   В случае если организация найдена, сообщите пользователю, что организация зарегистрирована;\n*   В случае если организация не найдена, проверьте информацию о наличии заявки на аккредитацию в разделе "Администрирование" / "Реестр заявок". Сообщите пользователю результат рассмотрения заявки на аккредитацию.	Editorial
Причины отказа в аккредитации РТС 223 	1.  Уточните ИНН организации;\n2.  Войдите в [Личный кабинет Оператора](https://223.rts-tender.ru/supplier/sso/Login.aspx?ReturnUrl=%2fsupplier%2fsso%2f);\n3.  Выберите раздел "Администрирование", далее "Реестр заявок";\n4.  С помощью фильтров найдите заявку на аккредитацию данной организации и откройте подробную информацию о ней;\n5.  В поле "Причина отказа" просмотрите основание для отказа в аккредитации и предоставьте ответ пользователю;\n6.  При необходимости просмотреть документ, по которому заявка была отклонена и обосновать причину отказа.	Editorial
Просьба рассмотреть заявку на аккредитацию побыстрее		Editorial
Статус заявки на аккредитацию	Статусы заявки:*   "Формирование" - заявка на аккредитацию находится в режиме редактирования, не отправлена на рассмотрение;\n*   "Подана" - Участник подал заявку на аккредитацию на площадке;\n*   "На рассмотрении" - заявка на аккредитацию подана и находится на рассмотрении Оператора;\n*   "Утверждена" - Участник аккредитован на площадке;\n*   "Отклонена" - заявка на аккредитацию была отклонена Оператором. Участник на площадке не аккредитован.	Editorial
Аккредитация на площадках по 44-ФЗ и 223-ФЗ 	"Аккредитация на площадках РТС-тендер по 44-ФЗ и 223-ФЗ не является единой. Для участия в процедурах, проводимых в рамках интересующего Вас Федерального закона, Вам следует получить аккредитацию на площадке, осуществляющей деятельность на основе данного Федерального закона".	Editorial
Обращение по ускоренной аккредитации от менеджеров	"В настоящее время, рассмотрение заявок на аккредитацию занимает 1 рабочий день".В случае, если менеджер настаивает ускоренном рассмотрении заявки, выполните следующие действия:1.  Зафиксируйте причину ускоренного рассмотрения заявки на аккредитацию в поле "Описание" заявки, созданной на основе обращения;\n2.  Передайте информацию Специалистам по направлению "Аккредитация". Режим работы работы специалистов по направлению аккредитация с 5-00 МСК - до 17-00 МСК. В случае, если обращение поступило в нерабочее время работы специалистов по направлению "Аккредитация", рассмотрение заявки производится самостоятельно;\n3.  Сообщите о результате по телефону (если менеджер просил предоставить информацию о результате рассмотрения).	Editorial
Изменение контактного лица / ответственного по процедуре	Контактное лицо - это лицо, назначенное в качестве контактной персоны по закупке. Информация о контактном лице является частью извещения о проведении закупки;Ответственное лицо - это лицо, выполняющий действия по  закупке на ЭП, которому направляются уведомления о событиях по закупке. Автоматически контактная информация при изменении ответственного лица по закупке  не обновляется в форме извещения. 	Editorial
