Question	Answer	Source
Установка корневого сертификата УЦ "FT-crypto" 	 "Корневой сертификат УЦ "FT-crypto" можно скачать с сайта УЦ "FT-crypto" *   (главная страница сайта УЦ "FT-crypto" ([http://cryptoca.ru/](http://cryptoca.ru/)) / раздел "О нас" / Сертификаты УЦ)\n*   (главная страница сайта УЦ "FT-crypto" ([http://cryptoca.ru/](http://cryptoca.ru/)) / раздел "Помощь"/ раздел "Файлы" - "Корневые сертификатыДля сертфиикатов в которых издатель FT Crypto необходимо скачивать "Корневые сертификаты FT crypto" и устанавливать в соответствии с инструкцией из раздела "Помощь" / "Инструкции" / "Установка корневых сертификатов FT Crypto".	Editorial
Настройка программного обеспечения для работы в Сервисе управления сертификатами УЦ "FT-crypto"	**Ответ оператора: **"Поддерживаемые операционные системы:*   Windows 7; \n*   Windows 8; \n*   Windows 8.1;\n*   Windows 10.Поддерживаемые браузеры:  Для отправки заявки на выпуск сертификата может быть использован любой браузер. Генерация и установка сертификата возможна только через Internet Explorer версии не ниже 9.Настройка программного обеспечения:1.  Отключите все защитное и антивирусное ПО;\n2.  Установите криптопровайдер Крипто-Про не ниже версии 3.6.6497 (для операционной системы Windows 8, 8.1 - не ниже 3.9, Windows 10 версия КриптоПро должна быть не ниже 4.0);\n3.  Установите корневой сертификат УЦ "FT-crypto". Ссылку на корневой сертификат можно найти на сайте УЦ "FT-crypto" (http://cryptoca.ru/) в разделе "Помощь" / "Файлы" / "Корневые сертификаты".	Editorial
Драйверы ключевого носителя 	**Ответ оператора: **"Драйверы ключевого носителя eToken PKI Client 5.1 sp1 32bit и eToken PKI Client 5.1 sp1 64bit можно скачать с сайта УЦ "FT-crypto" (http://cryptoca.ru/) в разделе "Помощь", далее "Файлы".При установке драйвера ключевой носитель не должен быть подключен к компьютеру пользователя."	Editorial
Настройка рабочего места  перед генерацией сертификата 	"Перед генерацией сертификата проверьте наличие следующих программ (настроек) на Вашем персональном компьютере:1.  Криптопровайдер КриптоПро не ниже версии 3.6.6497 (для операционной системы Windows 8, 8.1, 10 версия КриптоПро должна быть не ниже 4.0);\n2.  Установленные корневые сертификаты УЦ "FT-crypto" (см.ст. ["Установка корневого сертификата УЦ "FT-crypto"](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=2657804)");\n3.  Установленный драйвер ключевого носителя (см.ст. "[Драйвер ключевого носителя](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=2661603)");\n4.  После установки (настройки) рекомендуется перезагрузить компьютер и перейти в заявку на сертификат используя браузер Internet Explorer версия не ниже 9.	Editorial
Отказ от получения сертификата. Возврат денежных средств 		Editorial
Где  можно  работать с  ЭП, полученной  в УЦ "FT-crypto"?	Сертификатом электронной подписи УЦ "FT-crypto" могут подписываться документы в формате Word.Квалифицированный сертификат электронной подписи, изготовленный УЦ "FT-crypto", может быть использован на следующих ресурсах:*    Электронные торговые площадки, уполномоченные на проведение закупок для государственных и муниципальных нужд по Федеральным законам №94-ФЗ и №44-ФЗ: (Торговая площадка PTC-тендер, Сбербанк-АСТ, ЕЭТП, ММВБ и ЭТП РТ);\n*    Электронные торговые площадки, на которых возможна работа в рамках 223-ФЗ и коммерческих торгов. (За исключением ТЭК-торг, Фабрикант -планируется работа в ближайшее время);\n*   Газнефтеторг - [www.gazneftetorg.ru](http://www.gazneftetorg.ru/), Оборонторг - [www.oborontorg.ru](http://www.oborontorg.ru/), Спецстройторг – [www.sstorg.ru](http://www.sstorg.ru/); \n*   Официальный сайт Российской Федерации для размещения информации о размещении заказов – [www.zakupki.gov.ru](http://www.zakupki.gov.ru) (для Заказчиков по 223-ФЗ);\n*   Портал государственных услуг – [www.gosuslugi.ru](http://www.gosuslugi.ru);\n*   Единый реестр доменных имен, содержащий сведения об интернет-ресурсах, которые нарушают нормы действующего законодательства – [www.zapret-info.gov.ru; ](http://www.zapret-info.gov.ru)\n*   Межведомственный портал по управлению государственной собственностью – [mvpt.rosim.ru; ](https://mvpt.rosim.ru/SitePages/%D0%94%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D1%8F%D1%8F.aspx)\n*   Единая государственная информационная система учета объема производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции (ЕГАИС) (Росалкогольрегулирование) – [https://service.fsrar.ru/auth/login](https://service.fsrar.ru/auth/login);\n*   Федеральная служба по финансовому мониторингу (для предоставления информации об операциях (сделках) в электронном виде) – [http://www.fedsfm.ru](http://www.fedsfm.ru/);\n*   Портал поставщиков – [http://market.zakupki.mos.ru](http://market.zakupki.mos.ru/);\n*    Портал Федеральной налоговой службы - [www.nalog.ru](https://www.nalog.ru/rn54/) (возможно подписание деклараций на сайте ФНС).\n*   Портал государственных и муниципальных услуг (функция) г.Москвы - [https://login.mos.ru/eaidit/eaiditweb/openlogincert.do](https://login.mos.ru/eaidit/eaiditweb/openlogincert.do)\n*   Федеральная служба по аккредитации (Росаккредитация) - [http://fsa.gov.ru](http://fsa.gov.ru/)Требования к сертификатам для работы на других ЭП следует уточнить у Операторов соответствующих электронных площадок.По сертификату полученному, в УЦ "FT-crypto" нет возможности работать на иностранных ЭП. В силу того, что требования предъявляемые к электронной подписи отличаются как на законодательном, так и на техническом уровне.	Editorial
Срок действия электронной подписи	Срок действия электронной подписи составляет 1 год с момента формирования электронной подписи. Во время акций срок действия вновь сгенерированных подписей может быть увеличен.	Editorial
Можно ли заказать только USB-ключ e-Token, лицензию КриптоПро	 Заказать только USB-ключ e-Token и/или лицензию КриптоПро в УЦ "FT-crypto" невозможно.	Editorial
Повторное получение ранее выданного сертификата 	"Удостоверяющий центр не сохраняет копии закрытых ключей. В случае утери контейнера с закрытым ключом необходимо заказывать новый сертификат. Обратите внимание, что лицензия КриптоПро встроена в сертификат и при заказе нового сертификата лицензию необходимо заказывать повторно (если она необходима)."	Editorial
Отказ от лицензии КриптоПро и ключевого носителя после того, как выставлены счета на оплату	 Для того, чтобы отказаться от лицензии КриптоПро и ключевого носителя, направьте письмо на адрес электронной почты uc@ft-crypto.ru с просьбой отклонить заявку. После отклонения внесите изменения (уберите галочки в чек-боксах) в заявке и снова ее подайте.	Editorial
Прекращение действия сертификата УЦ "FT-crypto" в связи с его утерей	 "Для блокирования сертификата направьте на адрес электронной почты [uc@ft-crypto.ru](mailto:uc@ft-crypto.ru) сканированную копию заполненного заявления на прекращение действия сертификата по форме УЦ. Форму заявления можно посмотреть на сайте УЦ "FT-crypto" [http://cryptoca.ru](http://cryptoca.ru/) в разделе "О нас", Приложение №5 к Регламенту УЦ "FT-crypto". По Вашей просьбе действие электронной подписи будет приостановлено до направления официального письма о необходимости ее разблокировки".	Editorial
Открытый и закрытый ключ сертификата  	 "Закрытый ключ – уникальная последовательность символов, которая хранится в тайне у владельца сертификата ключа подписи на ключевых носителях. Закрытый ключ является ключевой парой открытого ключа и работает только с ним в паре. Закрытый ключ гарантирует невозможность подделки документа и цифровой подписи владельца. Используется для подписания документа. Открытый ключ – соответствует закрытому ключу электронной цифровой подписи. Открытый ключ доступен любому пользователю информационной системы, но знание открытого ключа не дает возможности определить закрытый ключ. Открытый ключ используется для проверки подлинности подписанного документа".	Editorial
PIN-код контейнера 		Editorial
Общая информация о составе электронной подписи	В сертификате ключей подписи, выданном для работы на электронных торговых площадках, указывается перечень полномочий (ролей) ее владельца (например, администратор организации, уполномоченный специалист и т.д.) с предоставлением соответствующих полномочий при работе на электронных площадках. Наличие следующего состава областей применения ключа (OIDов) гарантирует владельцу сертификата ключа беспрепятственную работу на электронных торговых площадках:1.  Проверка подлинности клиента (OID 1.3.6.1.5.5.7.3.2)\n2.  Защищенная электронная почта (OID 1.3.6.1.5.5.7.3.4)\n3.  Использование на электронных площадках, отобранных для проведения аукционов в электронной форме (OID 1.2.643.6.3.1.1)\n4.  Области использования согласно заявлению клиента. Области использования согласно заявлению клиента:**Тип участника **(один вариант из списка):*   Юридическое лицо (OID 1.2.643.6.3.1.2.1); \n*   Физическое лицо (OID 1.2.643.6.3.1.2.2);\n*   Индивидуальный предприниматель (OID 1.2.643.6.3.1.2.3). **Тип организации**:*    Участник размещения заказа (OID 1.2.643.6.3.1.3.1) **Полномочия** (множественный выбор): *    администратор организации (OID 1.2.643.6.3.1.4.1) - лицо, которое имеет право добавления новых пользователей, изменения регистрационных данных;\n*    уполномоченный специалист (OID 1.2.643.6.3.1.4.2) - лицо, имеющее право на сайте подавать заявки, направлять запросы на разъяснение положений документации, подавать ценовые предложения;\n*    специалист с правом подписи контракта (OID 1.2.643.6.3.1.4.3) - лицо, имеющее право на подписание контракта. В сертификатах ключей подписи, выданных УЦ "FT-crypto", содержатся указанные выше сведения. Эту информацию можно посмотреть, открыв сертификат, на вкладке "Состав" в поле "Улучшенный ключ".	Editorial
Внесение изменений в информацию, указанную в сертификате	Внесение изменений в сведения, указанные в сертификате, после генерации и установки сертификата невозможно.	Editorial
Прекращение действия квалифицированного сертификата по заявлению его владельца	Прекращение действия квалифицированного сертификата может осуществляться по заявлению его владельца. С образцом заявления Вы можете ознакомиться в приложении №5 "Регламента Удостоверяющего центра ООО "Финтендер-крипто"" ([http://www.cryptoca.ru/ ](http://www.cryptoca.ru/%20%D0%9E)  раздел "О нас"/ "Регламент УЦ Финтендер-крипто"). Направьте оригинал заявления на следующий почтовый адрес: Россия, 656056, Алтайский край, г. Барнаул, ул. Максима Горького, д 29. Для ускорения рассмотрения заявления, сканированную копию данного заявления, Вы можете направить на адрес элетронной почты [uc@ft-crypto.ru](mailto:uc@ft-crypto.ru). Обработка заявления на прекращение действия сертификата осуществляется не позднее рабочего дня, следующего за рабочим днем, в течении которого указанное заявление было принято Удостоверяющим центром".	Editorial
Оплата счета на получение сертификата	"Если по результатам рассмотрения Специалистом УЦ заявка признается соответствующей требованиям, Специалист направляет пользователю счета на оплату, статус заявки меняется на "Ожидает оплаты". Каждый счет необходимо оплачивать отдельным платежным поручением. Для оплаты в счете указана дата (3 рабочих дня), при необходимости можно произвести оплату после истечения данного срока. Счет на оплату можно сформировать в Сервисе управления сертификатами. Для этого:После оплаты счета и поступления денежных средств на расчетный счет Удостоверяющего центра, заявка перейдет в статус "Получение заверенных копий документов".	Editorial
Предоставление бухгалтерских документов 	*   Бухгалтерские документы формируются в течение суток после генерации сертификата;\n*   Если закрывающие документы по заявке на сертификат не пришли, пользователь может направить запрос на предоставление документов на адрес электронной почты [uc@ft-crypto.ru](http://uc@ft-crypto.ru)."Бухгалтерские документы отправляются Почтой России на почтовые адреса пользователей, указанные в заявках на получение сертификатов, в середине и конце месяца. Срок доставки зависит от скорости работы почты (в зависимости от региона РФ, в котором расположена организация поставщика)."	Editorial
Реквизиты УЦ FT-crypto	"Реквизиты Удостоверяющего центра FT-crypto можно посмотреть на главной странице сайта FT-crypto (http://cryptoca.ru/) в разделе "О нас".**Реквизиты:***   Наименование: Общество с ограниченной ответственностью "Финтендер-крипто";\n*   ИНН: 2225129102, св. 22 № 003573046 от 26.03.12 г.;\n*   КПП: 222501001;\n*   ОГРН: 1122225003669, св 22 № 003571943 от 26.03.12;\n*   ОКПО: 38747115;\n*   ОКФС: 16;\n*   ОКОПФ: 65;\n*   ОКВЭД: 65.23;\n*   Банк: Филиал № 5440 ВТБ 24 (ПАО), р/счет 40702810510140006455, к/с 30101810450040000751, БИК: 045004751, ИНН 7710353606, КПП 540743001, ОКПО 20606880 в ГРКЦ ГУ ЦБ РФ по Новосибирской области; \n*   Адрес: 656056, Алтайский край, г. Барнаул, ул. Максима Горького, д 29;\n*   E-mail: [uc@ft-crypto.ru](http://ft-crypto.ru).	Editorial
Стоимость электронной подписи (УЦ "FT-crypto")	 С 19 декабря 2016 г. для всех клиентов стоимость электронной подписи составляет 5 700 руб. без НДС и без расширения области использования:*   Создание и выдача Квалифицированного сертификата электронной подписи - 3500 руб;\n*   Ключевой носитель eToken PRO (Java)72k - 1500 руб. ( с 15.12.2014 г.);\n*   Годовая лицензия на Крипто Про CSP - 700 руб;\n*   Расширение области использования для работы на B2B-Center - 2000.Стоимость экспертизы подлинности электронной подписи в электронном документе определяется по соглашению сторон в соответствии с отдельным договором. Информацию о тарифах Удостоверяющего центра можно посмотреть на сайте [http://cryptoca.ru](http://cryptoca.ru)  в разделе "Как купить".	Editorial
Оплата счета за другую организацию/ИП 	"Сторонняя организация / физическое лицо могут произвести оплату за организацию или ИП, указанных в заявках на сертификат. Для этого в платежном поручении в назначении платежа укажите за что, за кого (Наименование организации или ИП, ИНН) и по каким счетам производится оплата.Например: "Оплата за ООО "Ромашка" на создание и выдачу квалифицированного сертификата по счету 123С от 01.02.2014."	Editorial
Сроки зачисления денежных средств на получение сертификата в УЦ "FT-crypto" 	"Денежные средства зачисляются в срок до 3 банковских дней (в соответствии с Регламентом осуществления банковских операций).	Editorial
Дата в счете на оплату 	 "Счет на оплату формируется на дату отправки запроса на выпуск сертификата."	Editorial
Получение оригиналов счетов на оплату сертификата 	"Оригиналы счетов на оплату предоставляются вместе с закрывающими документами. Закрывающие документы (акты выполненных работ и товарные накладные) формируются после генерации и установки сертификата и отправляются пользователю на почтовый адрес 2 раза в месяц."	Editorial
Оплата счетов проведена одним платежным поручением 	 "Дождитесь поступления денежных средств на расчетный счет УЦ "FT-crypto", оплата должна зачислиться автоматически.Если заявка на сертификат перешла в статус "Частично оплачен", направьте письмо на адрес электронной почты uc@ft-crypto.ru с описанием ситуации. В письме укажите номера и даты счетов на оплату, дату оплаты счета и приложите сканированную копию платежного поручения."	Editorial
Дважды оплатили счета на получение сертификата 	"Для возврата ошибочно перечисленных денежных средств отправьте запрос на адрес электронной почты uc@ft-crypto.ru, прикрепив сканированное платёжное поручение."	Editorial
Оплата счета на получение сертификата бюджетной организацией 	Бюджетное учреждение оплачивает счета по получению реквизитов закрывающих документов, но закрывающие документы предоставляются после генерации и установки сертификата."Для получения реквизитов закрывающих документов бюджетным учреждением направьте письмо на адрес электронной почты uc@ft-crypto.ru с описанием ситуации. По получению данного обращения Ответственный специалист предоставит Вам ответ."	Editorial
Ошибка установки сертификата. Объект или свойство не найдено	Решением может быть один из предложенных вариантов (в зависимости от причины возникновения ошибки), наиболее распространенные представлены первыми:	Editorial
Ошибка построения цепочки сертификатов 	**Решение: **Установите корневые сертификаты. Корневые сертификаты УЦ "FT-crypto" можно скачать с сайта [http://cryptoca.ru](http://cryptoca.ru), из раздела " Помощь" - "Файлы", п.1 "Корневые сертификаты".*   Для сертфиикатов, в которых издатель OTC Crypto, необходимо скачивать Корневые сертификаты OTC crypto и устанавливать в доверенные корневые сертфификаты;\n*   Для сертфиикатов, в которых издатель FT Crypto, необходимо скачивать Корневые сертификаты FT crypto и устанавливать в соответствии с инструкцией из раздела помощь/ инструкции "Установка корневых сертификатов FT Crypto".	Editorial
Не изменился статус заявки на получение сертификата	**Решение: ** Если статус заявки на сертификат на одном из этапов (Ожидает оплаты, Частично оплачен, Предоставление заверенных копий документов, Ожидает ответа УЦ ) не меняется после совершенных действий:1.  Если клиент предоставил документы в точку выдачи, а статус не изменился свяжитесь с Кирилловой Анастасией тел. +7 (499) 702-47-14 доб 28615, 28702 и передайте обращение клиента (с 10-00 по 18-00 МСК);\n2.  Если статус заявки на сертификат частично оплачен, а Участник оплатил полностью, попросите клиента направить копии платежных поручений на uc@ft-crypto.ru ;\n3.  Если статус "Ожидает ответ УЦ" держится больше 10 минут, либо Анастасии нет на месте поставьте задачу в Мегаплане по шаблону "Не изменился статус заявки на получение сертификата". В задаче укажите ИНН, название организации, номер заявки.	Editorial
Закрытый ключ не соответствует открытому ключу в сертификате 	**Причина: **Выбран не тот контейнер закрытого ключа, который необходим.**Решение: **При** **установке сертификата** **поставьте галку "Найти контейнер автоматически".	Editorial
КриптоПро требует лицензию при работе с сертификатом УЦ "FT-crypto" со встроенной лицензией	**Причина: **Данная ошибка возникает в том случае, если генерация сертификата происходила через КриптоПро версии ниже 3.6 R3 и сервис не смог записать сертификат в контейнер.**Решение:** 1.  Увеличьте размер резервируемой памяти под контейнер, добавив в реестр информацию из одного из файлов (в зависимости от разрядности операционной системы клиента/ Путь к файлу: Z:\Методические и справочные материалы\6. Инструкции\9. УЦ FT-crypto):*   Для Сертификатов REG-файл x 32.reg;\n*   Для Сертификатов REG-файл x 64.reg.1.  Скопируйте существующий контейнер с закрытым ключом в новый (см. статью "[Копирование электронной подписи](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7435)");\n2.  Переустановите личный сертификат, выбрав новый контейнер.В случае если ошибка сохраняется после выполнения вышеперечисленных действий, проверьте серийный номер КриптоПро. Если его нет, или он заполнен частично, рекомендуйте переустанить программу КриптоПро с очисткой реестра компонентов.	Editorial
Не удалось импортировать сертификат 	**Решение:** В данном окне пользователю необходимо нажать кнопку "Cancel".	Editorial
Ошибка генерации ключевой пары при помощи CryptoPRO. Надстройка для работы с сертификатами недоступна	**Решение: **Проверьте, какая операционная система установлена на ПК.Если Windows Vista, необходимо использовать другую.Если операционная система Windows 7/XP:1.  Проверьте, чтобы на компьютере Пользователя была установлена именно программа КриптоПро CSP;\n2.  Проверьте, чтобы компьютере Пользователя наличие программы КриптоПро ФКН CSP. Если она имеется, удалите ее;\n3.  Повторите попытку генерации ключа под правами администратора;\n4.  Запустите программу настройки для корректной работы площадки (скачать: Центр поддержки пользователей / База знаний / Участникам / Начало работы / п. 4 статьи "Настройка компьютера");\n5.  Скачайте и установите КриптоПро CADESCOM;\n6.  После установки КриптоПро CADESCOM при необходимости разрешите использование данного плагина в браузере (всплывающее окно с разрешением на использование данного плагина появляется в нижней части браузера);\n7.  Данная ошибка может возникать при попытке генерации сертфииката на носитель, на котором недостаточно места для записи.	Editorial
Истек/не наступил срок действия требуемого сертификата при проверке по системным часам или по отметке времени в подписанном файле 	**Причина:** На компьютере Пользователя не установлено автоматическое обновление Windows, исправляющее часовые пояса, измененные с 26 октября 2014.**Решение:***   Установите автоматическое обновление Windows;\n*   Подождите 1-2 часа, по истечении данного времени повторите попытку установки сертификата (в случае если нет возможности установить обновление операционной системы).	Editorial
Отсутствует заявка на перевыпуск сертификата в личном кабинете Участника 	**Решение:** Уточните срок действия "старого" сертификата. В случае если во время перевыпуска сертификата, старый сертификат закончился, сертификат нужно заказывать заново. Исключение составляет случай, когда заявка в статусе "принята". Пользователю необходимо оформить заявку на получение новой ЭП.	Editorial
Алгоритм не верный	**Причина: **На ПК Пользователя установлены несовместимые версии КриптоПро и ОС.Для проверки версии КриптоПро:1.  Откройте программу КриптоПро (Пуск / Все программы / КриптоПро / КриптоПро CSP);\n2.  Перейдите на вкладку "Общее" и просмотрите сведения, указанные в строке "Версия продукта".**Решение: **Если на ПК пользователя установлена ОС Windows 8, 8.1, 10, а версия КриптоПро - 3.6, обновите версию Крипто Про до 4.0. При этом удаление старой версии не требуется.	Editorial
Носитель отсутствует 	**Причина: **Причиной может быть любой из предложенных вариантов (наиболее распространенные указаны первыми):*   Пользователь пытается установить сертификат через другой криптопровайдер (не КриптоПро);\n*   Информация о носителе не считывается программой eToken PKI Client.**Решение: ***   Удалите установленный криптопровайдер и скачайте программу КриптоПро CSP с сайта КриптоПро;\n*   Удалите программу eToken PKI Client, переустановите ее (скачать: сайт УЦ "FT-crypto" ([cryptoca.ru](http://cryptoca.ru/)) / Помощь / Файлы / Драйвер ключевого носителя). После установки перезагрузите компьютер.	Editorial
У вас нет прав для просмотра этой заявки		Editorial
Не поступает ссылка на адрес электронной почты при выполнении действий 	**Решение: ** 1.  Проверить спам-лист и настройки почтового сервера (почтовый сервер блокирует поступление писем);\n2.  Проверить в заявке правильность заполнения адреса электронной почты.	Editorial
Ошибки, возникающие при работе на площадках с сертификатом УЦ "FT-crypto"		Editorial
Ошибка "В контейнере закрытого ключа отсутствует сертификат открытого ключа шифрования"		Editorial
Неверный пин-код	**Причина: **Не** **установлен корневой сертификат УЦ "FT-crypto"  и драйвер ключевого носителя.**Решением может быть любой из предложенных вариантов (наиболее распространенные представлены первыми): ***   Установите корневой** **сертификат с сайта УЦ "FT-crypto"  ( [http://cryptoca.ru](http://cryptoca.ru/) ): раздел "Помощь" - "Файлы" - п. 1 Сертификаты УЦ;\n*   Установите драйвер ключевого носителя: сайт УЦ "FT-crypto" - раздел "Помощь" - "Файлы" - Драйвер ключевого носителя (32-64 bit в зависимости от разрядности ОС);\n*   Если ключевой носитель выдан УЦ "FT-crypto", по согласованию с Участником смените пин-код контейнера через eToken PKI на стандартный: 1234567890 (см. статью "<span style="color:#000000;font-family:calibri, arial, helvetica, sans-serif;font-size:14px;">[Разблокировка eToken, введение нового пароля](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=4509)"</span>). После смены пароля выполните генерацию сертификата.	Editorial
КриптоПро не видит контейнер закрытого ключа при установке сертификата на другой компьютер	**Причина 1: **При установке сертификат был сгенерирован в реестр или на другой носитель.**Решение: **1.  Если сертификат был сгенерирован на другой носитель, необходимо вставить его и выполнить установку личного сертификата;\n2.  Если сертификат был сгенерирован в реестр, пользователю необходимо скопировать контейнер закрытого ключа на любой носитель (см. статью "[Копирование электронной подписи](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=7435)") и выполнить установку личного сертификата на другой компьютер.  **Причина 2: **Носитель поврежден или заблокирован USB-порт на компьтере пользователя.**Решение: **1.  Если носитель отображается, см. Причину 1;\n2.  Если носитель не отображается, пользователю необходимо обратиться к системному администротору для проверки блокировки USB-портов. Если USB-порты не заблокированы, рекомендовать Пользоватею обратиться в Удостоверяющий центр для получения нового сертификата в связи с тем, что носитель испорчен.	Editorial
При проверке отношений доверия возникла ошибка	**Причина: **На ПК Пользователя не установлен корневой сертификат Удостоверяющего центра.**Решение:** Установите корневой сртификат Удостоверяющего центра (см. статью "[Установка корневого сертификата УЦ "FT-crypto"](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=3152)").	Editorial
Файл не найден	**Причина: ***   Не установлено дополнительное программное обеспечение eToken PKI Client:\n*   Крипто Про версия КС2, не настроена функция датчика случайных чисел;\n*   На носителе недостаточно места для записи контейнера закрытого ключа;**Решение: ***   Установить eToken PKI Client с сайта УЦ "FT-crypto". Для этого:1.  Зайдите на сайт УЦ "FT-crypto" ([http://cryptoca.ru/](http://cryptoca.ru/));\n2.  Перейдите в раздел "Помощь", далее "Файлы"; \n3.  Скачайте драйвер ключевого носителя в соответствии с разрядностью системы (п. 2 или п. 3).*   Для настройки функции датчика случайных чисел Крипто Про:1.  Запустите Крипто Про от имени Администратора;\n2.  Перейдите во вкладку "Оборудование";\n3.  Нажмите кнопку "Настроить ДСЧ";\n4.  Если в списке отсутствует "Биологический ДСЧ" нажмите кнопку "Добавить", далее следуйте инструкциям в диалоговом окне.*   Вставьте другой носитель, на котором есть свободное место для записи контейнера.Если выполнение вышеперечисленных действий не помогло, просмотрите через программное обеспечение eToken PKI Client количество оставшихся попыток ввода пин-кода. Если количество уменьшается при сохраняющейся ошибке, рекомендуйте Пользователю обратиться в Удостоверяющий центр, в котором был получен носитель. 	Editorial
