Question	Answer	Source
Подача заявки на дополнительную аккредитацию 	 "Для подачи заявки на дополнительную аккредитацию:1.  В Личном кабинете войдите в раздел "Моя организация" / "Информация об организации";\n2.  Перейдите во вкладку "Аккредитация";\n3.  Нажмите на ссылку "Получить аккредитацию";\n4.  Откроется форма "Дополнительная аккредитация". Форма будет заполнена автоматически из сведений, размещенных в Личном кабинете;\n5.  В разделе "Претендент" проставьте галочку в чек-боксе "Аккредитация на площадке". В чек-боксе "Подтверждаю, что претендент не является государственным и муниципальным унитарным предприятием, государственным и муниципальным учреждением, а также юридическим лицом, в уставном капитале которых доля Российской Федерации, субъектов Российской Федерации и муниципальных образований превышает 25 процентов" проставьте галочку;\n6.  В разделе "Заявление о присоединении" нажмите кнопку "Сформировать". Проставьте галочку в чек-боксе "Заявитель ознакомлен с [Лицензионным договором](http://servicing-privatization.rts-tender.ru/main/home/Handlers/FileDownloadHandler.ashx?FileGuid=9ecd1677-cf0c-4fef-a942-5281ccb77e72), [Регламентом площадки](http://servicing-privatization.rts-tender.ru/main/home/Handlers/FileDownloadHandler.ashx?FileGuid=7aa90e49-c899-40c6-99d2-8d14a42448e1), [Соглашением о гарантийном обеспечении](http://servicing-privatization.rts-tender.ru/main/home/Handlers/FileDownloadHandler.ashx?FileGuid=fdbbfc9f-9362-4e2d-9968-9c40da704411), согласен с их условиями и присоединяется к ним подписанием [Заявления о присоединении к документам площадки](http://servicing-privatization.rts-tender.ru/main/home/Handlers/FileDownloadHandler.ashx?FileGuid=adb314fa-a853-412f-ae00-e6de79c9a977)";\n7.  Нажмите кнопку "Подать заявку на дополнительную аккредитацию".Заявка на дополнительную аккредитацию будет направлена Оператору ЭП на рассмотрение. Заявка будет рассмотрена в течение 5 рабочих дней с даты получения заявки."	Editorial
Подтверждение адреса электронной почты 	"Для подтверждения адреса электронной почты:1.  Откройте через браузер Internet Explorer ящик электронной почты, который был указан в заявке на аккредитацию;\n2.  Перейдите по ссылке в письме, автоматически направленном площадкой при отправке заявки на рассмотрение. После подтверждения на данный адрес будут приходить все уведомления от площадки".	Editorial
Аккредитация филиалов	1.  Претенденту необходимо написать официальное письмо с просьбой удалить аккредитацию;\n2.  По факту поступления письма Оператору требуется поставить задачу на 3 линию техподдержки. Филиал может пройти аккредитацию отдельно или добавить пользователя в Личный кабинет головной организации.Если Вы планируете работать как отдельная организация, то необходимо подать заявку на аккредитацию. После ее утверждения, у Вас откроется доступ к Личному кабинету.Если Вам необходимо добавиться к головной организации, то добавление пользователя в таком случае возможно только через Личный кабинет головной организации. Направьте головной организации открытый ключ электронной подписи своего пользователя с просьбой добавить его.	Editorial
Срок рассмотрения заявки на аккредитацию 	 "На основании Регламента электронной площадки "РТС-тендер" проведения торгов в электронной форме при продаже государственного и муниципального имущества рассмотрение проходит в течение 5 рабочих дней с даты ее направления Организатору (Оператор ЭП)".	Editorial
Просьба рассмотреть заявку на аккредитацию побыстрее		Editorial
Срок действия аккредитации 	 "В соответсвии с Регламентом ЭП аккредитация на ЭП является бессрочной."	Editorial
Уточнение причины отклонения заявки на аккредитацию 	1.  Уточните ИНН организации; \n2.  Войдите в [Личный кабинет Оператора](https://i.rts-tender.ru/main/sso/Login.aspx); \n3.  Выберите раздел "Личный кабинет", далее "Реестр заявок"; \n4.  С помощью фильтров найдите заявку на аккредитацию данной организации и откройте подробную информацию о ней; \n5.  В поле "Причина отказа" просмотрите основание для отказа в аккредитации и предоставьте ответ Пользователю; \n6.  При необходимости просмотрите документ, по которому заявка была отклонена и обоснуйте причину отказа.	Editorial
Статус заявки на аккредитацию	Статусы заявки:*   "Формирование" - заявка на аккредитацию находится в режиме редактирования, не отправлена на рассмотрение;\n*   "Подана" - Участник подал заявку на аккредитацию на площадке;\n*   "На рассмотрении" - заявка на аккредитацию подана и находится на рассмотрении Оператора;\n*   "Утверждена" - Участник аккредитован на площадке;\n*   "Отклонена" - заявка на аккредитацию была отклонена Оператором. Участник на площадке не аккредитован.	Editorial
Подача запроса на разъяснение документации	 Направить запрос на разъяснение документации можно из Личного кабинета или с открытой части площадки (без авторизации).  \n\n**Для направления запроса на разъяснение документации из Личного кабинета:**1.  В Личном кабинете перейдите в раздел "Имущественные торги" / столбец "Поиск" / "Поиск процедур"; \n2.  Найдите и откройте нужное извещение; \n3.  Перейдите в раздел "Запросы на разъяснения", расположенный внизу страницы;\n4.  Нажмите кнопку "Запросить разъяснение"; \n5.  Откроется форма "Создание запроса на разъяснение по процедуре №…". Заполните поля "Тема", "Текст", при необходимости прикрепите документы;\n6.  Нажмите кнопку "Отправить"; \n7.  Подтвердите действие сертификатом электронной подписи; \n8.  Появится информационное сообщение об успешном выполнении операции. Нажмите "Ок".Отправленный запрос отобразится в извещении в разделе "Документы и сведения", а так же в разделе "Запросы" / "Запросы участника". **Для направления запроса на разъяснение документации из открытой части площадки:**  1.  В разделе "Имущественные торги" перейдите в "Расширенный поиск"; \n2.  Найдите и откройте нужное извещение; \n3.  Перейдите в раздел "Запросы на разъяснения", расположенный внизу страницы;\n4.  Нажмите кнопку "Запросить разъяснение"; \n5.  Откроется форма "Создание запроса на разъяснение по процедуре №…". Заполните поля "Тема", "Текст", "Наименование участника", при необходимости прикрепите документы;\n6.  Нажмите кнопку "Отправить"; \n7.  Появится информационное сообщение об успешном выполнении операции. Нажмите "Ок".Отправленный запрос отобразится в извещении в Личном кабинете в разделе "Запросы" / "Запросы участника". 	Editorial
Просмотр ответа на разъяснение документации 	 "Для просмотра ответа на разъяснение: 1.  Перейдите в раздел "Имущественные торги" / "Поиск" / "Поиск процедур"; \n2.  Осуществите поиск процедуры и откройте нужную процедуру; \n3.  Откроется форма "Процедура №…". Перейдите в раздел "Запросы на разъяснения", расположенный внизу страницы;\n4.  Нажмите на тему запроса;\n5.  Откроется форма "Запрос на разъяснение №…". В разделе "Ответ" ознакомьтесь с ответом." 	Editorial
Удаление запроса на разъяснение документации	 Для удаления запроса:1.  В Личном кабинете перейдите в раздел «Имущественные торги» / «Запросы»;\n2.  Откройте нужный запрос;\n3.  Нажмите кнопку «Удалить»;\n4.  Подтвердите действие электронной подписью.Запрос будет успешно удален.**Условия удаления запроса:** Удаление запроса на разъяснение документации возможно, в случае если запрос направлен. Если Продавец предоставил ответ на него, то возможность удаления скрывается.	Editorial
Подача заявки на участие	Претендент вправе не позднее дня окончания приема заявок отозвать заявку путем направления уведомления об отзыве заявки на электронную площадку, за исключением случая проведения продажи имущества без объявления цены.Для подачи заявки:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Имущественные торги";\n3.  Перейдите в раздел "Поиск процедур";\n4.  Осуществите поиск процедуры с помощью формы "Фильтр";\n5.  Нажмите на "№" или "Наименование процедуры";\n6.  Вверху страницы нажмите кнопку "Подать заявку";\n7.  Заполните открывшуюся форму "Подача заявки" (см. статью "[Заполнение заявки на участие](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3904853&start=)");\n8.  После заполнения заявки для ее отправки нажмите кнопку "Подать заявку".Отправленная заявка отобразится в разделе "Имущественные торги" / "Участие" / "Мои заявки".Для сохранения заявки в черновик, нажмите кнопку "Сохранить черновик", заявка будет доступна для редактирования в разделе "Имущественные торги" / "Участие" / "Мои заявки".   \n\n**Особенности подачи заявки на участие:**	Editorial
Заполнение заявки на участие	Для заполнения формы заявки:1.  Заполните раздел "Содержание заявки", установив галочку в чек-боксе "Согласен с условиями Информационного сообщения"; \n2.  В разделе "Выбор лота" осуществите поиск лотов, на которые необходимо подать заявки, установив отметку в чек-бокс;\n3.  Приложите необходимые документы к лоту (в лоте могут отобразиться дополнительные поля в зависимости от типа процедуры):"Форма заявки в соответствии с требованиями организатора" - Претенденту требуется прикрепить документы в соответствии с документацией Продавца по процедуре. Поле является обязательным для заполнения.  \n\n "Электронные образы документов в соответствии с Федеральным законом о приватизации №178-ФЗ" - в это поле Претендент может добавить документы об организации. Поле является не обязательным для заполнения.  \n\n Например, в соответствии с Федеральным законом о приватизации № 178-ФЗ:  \n\n Для юридических лиц требуется следующий список документов:*   заверенные копии учредительных документов;\n*   документ, содержащий сведения о доле Российской Федерации, субъекта Российской Федерации или муниципального образования в уставном капитале юридического лица (реестр владельцев акций либо выписка из него или заверенное печатью юридического лица (при наличии печати) и подписанное его руководителем письмо);\n*   копия документа, который подтверждает полномочия руководителя юридического лица на осуществление действий от имени юридического лица (копия решения о назначении этого лица или о его избрании) и в соответствии с которым руководитель юридического лица обладает правом действовать от имени юридического лица без доверенности.Для физических лиц, в том числе индивидуальных предпринимателей - копии всех листов документа, удостоверяющего личность.  \n\n**Заполнение формы заявки на участие для процедуры "Аукцион":**<strong style="line-height:1.6;">Особенности заполнения заявки для отдельных типов процедур:**\n\n</strong>	Editorial
Отзыв и редактирование заявки на участие	**Для отзыва заявки:**1.  Перейдите в раздел "Имущественные торги" / столбец "Участие" / "Мои заявки";\n2.  В разделе "Заявки" нажмите на "Входящий номер";\n3.  Откроется форма "Просмотр заявки №…";\n4.  Нажмите кнопку "Отозвать заявку", расположенную внизу формы;\n5.  Подтвердите действие сертификатом электронной подписи;\n6.  Появится информационное сообщение об успешном выполнении операции. Нажмите "Ок". Если заявка отозвана, то для повторной подачи заявки необходимо выполнить первоначальные действия по подаче заявки (см. статью "[<span style="color:#000000;font-family:calibri, arial, helvetica, sans-serif;font-size:14px;">Подача заявки на участие</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=3904826)") Особенности отзыва и редактирования заявки для отдельных типов процедур:	Editorial
Статусы заявок на участие 		Editorial
Просмотр заявки на участие 	**Ответ Оператора: "**<span style="line-height:1.6">Для просмотра заявки на участие:</span>1.  Перейдите в раздел "Имущественные торги" / столбец "Участие" / "Мои заявки";\n2.  В разделе "Заявки" нажмите на "Входящий номер";\n3.  Откроется форма "Просмотр заявки №…". 	Editorial
Подача заявки на участие из черновика 	"Процедура подачи заявки осуществляется только через карточку процедуры. После сохранения черновика заявки кнопка "Подать заявку" отсутствует в черновике. Процедура подачи заявки после сохранения черновика аналогична первоначальному формированию заявки (см.ст. "[Подача заявки на участие](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=3904826)")	Editorial
Участие в торгах	 Для участия в торгах:1.  Перейдите в раздел "Имущественные торги" / "Участие" / "Мои заявки";\n2.  Нажмите на номер процедуры. Откроется форма "Процедура №…";\n3.  Нажмите кнопку "Перейти к аукциону" (кнопка появится в момент начала аукциона);\n4.  Откроется форма "Аукционный торг по процедуре №…";\n5.  Для ввода ставки нажмите кнопку "Ввод ставки";\n6.  Откроется окно "Ввод ставки по лоту". В поле "Ценовое предложение" введите Ваше ценовое предложение;\n7.  Нажмите кнопку "Подписать и отправить ставку";\n8.  Подтвердите действие сертификатом электронной подписи.Поле "Ценовое предложение" обновится. Лучшее ценовое предложение выделено зеленым цветом. Список поданных ценовых предложений можно просмотреть в окне "Ввод ставки по лоту" в разделе "История ставок".  \n\n Особенности подачи ценовых предложений:	Editorial
