Question	Answer	Source
Зачисление средств на виртуальный счёт	**Ответ Оператора: **Платежи разносятся по виртуальным счетам каждый рабочий день по факту поступления денежных средств (банковский + рабочий день). Данные о поступлении денежных средств обновляются ежедневно по рабочим дням в:*   10-00 ;\n*   12-00 ;\n*   15-30 ;\n*   18-00 (по МСК).Сторонняя организация / физ. лицо также могут перечислить денежные средства за Участника размещения заказа (если Участник размещения заказа - ЮЛ). Для этого в платежном поручении в поле "Назначение платежа" необходимо указать за какую организацию производится зачисление, её ИНН и виртуальный счет.  \n Если Участник размещения заказа - ФЛ/ИП, то Оператор ЭП осуществляет зачисление на виртуальный счет Участника закупки (ФЛ/ИП) только тех денежных средств, которые поступили лично от такого Участника закупки, с любого расчетного счета, принадлежащего Участнику закупки, либо со счета организации, предоставившей денежные средства в качестве кредита.	Editorial
Информация об актуальных тарифах для Участников 	" Актуальную информацию о тарифах площадки РТС-тендер для Участников возможно просмотреть на главной странице электронной площадки. В нижней части страницы, на сером фоне слева перейдите по ссылке "Тарифы". При переходе откроется новая страница, содержащая следующую информацию:*   Тарифы электронной площадки РТС-тендер;\n*   Информация для участников-нерезидентов;\n*   Информация для бухгалтера".	Editorial
Обеспечение заявки в совместных торгах 		Editorial
Денежные средства перечислены на неверные реквизиты	"Вам необходимо написать официальный запрос на площадку с просьбой перечислить денежные средства на верные реквизиты, в связи с тем, что средства поступили на невыясненные счета / закрытый счет / другое. Официальное письмо необходимо оформить на имя Генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича, в котором будут указаны актуальные банковские реквизиты организации. Письмо должно быть заверено печатью и подписью руководителя организации.  \n В случае если денежные средства были перечислены ошибочно, рекомендуйте Пользователю отправить денежные средства обратно на ЭП, приложив платежное поручение, с указанием об ошибочном поступлнии денежных средств".	Editorial
Перечисление денежных средств в случае признания Участника уклонившимся по 94 ФЗ 	"Основанием для перечисления денежных средств на счет Заказчика является заверенное решение о включении данного участника в Реестр недобросовестных поставщиков. Если у Вас есть это решение, отправьте его на адрес электронной почты Электронной площадки support@rts-tender.ru".	Editorial
Блокирование / разблокирование денежных средств 	"Порядок блокирования / разблокирования денежных средств в размере обеспечения заявок на участие в электронном аукционе регламентирован ст. 44 44-ФЗ.	Editorial
Не пересчиталось обеспечение заявки с иностранной валюты на рубли	 "Ваше обращение будет передано техническим специалистам. По решению Вам будет предоставлен ответ."	Editorial
Аккредитация участников электронного аукциона на электронной площадке 	**Статья:** [Статья 61. Аккредитация участников электронного аукциона на электронной площадке](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Сроки. Аккредитация Участников 	**Статья: **[Статья 61. Аккредитация участников электронного аукциона на электронной площадке](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи: **	Editorial
Список офшорных зон 	Перечень офшорных зон утвержден [приказом Минфина России от 13.11.2007 г. № 108н.](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1355)	Editorial
Сроки размещения банковской гарантии на ЕИС	**Статья: **[Статья 45. Условия банковской гарантии. Реестры банковских гарантий](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Банковская гарантия, условия 	**Статья: **[Статья 45. Условия банковской гарантии. Реестры банковских гарантий](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Признаки подделки  банковской гарантии 	В соответствии с Письмом ФАС «О банковских гарантиях» от 18.12.2012, признаки подделки банковской гарантии:*   Контактные данные (телефоны, контакты ответственного лица, электронная почта), указанные на банковской гарантии не совпадают с официальными контактами банка, указанными на официальном сайте данного банка;\n*   Приложения к банковским гарантиям – верификационные письма содержат в себе также подложные контактные сведения о лицах, уполномоченных банком на подтверждение банковской гарантии; \n*   Подписи должностных лиц банков выполнены нечетко, неуверенным почерком;\n*   Оплата услуг по получению банковской гарантии поставщиком всегда происходит не на расчетный счет банка, а на счет платежного агента – юридического лица, фактически не связанного с деятельностью банка.Достоверно проверить подлинность выданной банковской гарантии Заказчик может путем направления официального запроса (с указанием номера гарантии, срока, суммы, наименования принципала, предмет контракта) в адрес головного офиса кредитного учреждения по контактам и адресам, указанным на официальном сайте данного банка, независимо от наличия верификационных писем.**Справочная информация: **Согласно письма Центрального Банка Российской Федерации от 30.07.2012 №111 – Т « О сведениях, рекомендуемых для размещения на Web – сайтах кредитных организаций в информационно-телекоммуникационной сети Интернет» Банк России рекомендовал всем кредитным организациям в целях проверки бенефициарами фактов выдачи банковских гарантий, размещать на своих WEB – сайтах информацию о внутренних структурных подразделениях банка, а также контактные данные лиц, уполномоченных осуществлять подтверждение банковских гарантий.	Editorial
Запрос на разъяснение аукционной документации 	**Статья: **[Статья** **65. Порядок предоставления документации об электронном аукционе, разъяснений ее положений и внесение в нее изменений](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Сроки. Запрос на разъяснение 	**Статья: **[Статья** **65. Порядок предоставления документации об электронном аукционе, разъяснений ее положений и внесение в нее изменений](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Сроки. Контракт 	**Статья:** [Статья 70. Заключение контракта по результатам электронного аукциона](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Обеспечение исполнения контракта	**Содержание статьи:**ч. 6 ст. 96 Закона № 44-ФЗ.  Размер обеспечения исполнения контракта должен составлять от 5 до 30% начальной (максимальной) цены контракта, указанной в извещении об осуществлении закупки.*   В случае, если начальная (максимальная) цена контракта превышает 50 млн. руб., Заказчик обязан установить требование обеспечения исполнения контракта в размере от 10 до 30% начальной (максимальной) цены контракта, но не менее чем в размере аванса (если контрактом предусмотрена выплата аванса).\n*   В случае, если аванс превышает 30% начальной (максимальной) цены контракта, размер обеспечения исполнения контракта устанавливается в размере аванса.	Editorial
Антидемпинговые меры	**Статья:** [Статья 37. Антидемпинговые меры при проведении конкурса и аукциона](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**Антидемпинговые меры применяются, если Участником закупки, с которым заключается контракт, предложена цена контракта, которая на 25% и более процентов ниже НМЦ контракта	Editorial
Блокирование подписания контракта Заказчиком на 10 дней при заключении контракта со вторым Участником 	**Статья: **[Статья 70. Заключение контракта по результатам электронного аукциона](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи: **ч. 14 ст. 70  Заказчик вправе заключить контракт с Участником аукциона, который предложил такую же, как и победитель такого аукциона, цену контракта или предложение о цене контракта которого содержит лучшие условия по цене контракта, следующие после условий, предложенных победителем такого аукциона. В случае согласия этого участника заключить контракт этот участник признается победителем такого аукциона и проект контракта, прилагаемый к документации об аукционе, составляется заказчиком путем включения в проект контракта условий его исполнения, предложенных этим участником.Проект контракта должен быть направлен заказчиком этому участнику в срок, не превышающий 10 дней с даты признания победителя такого аукциона уклонившимся от заключения контракта.**Справочная информация:**В соответствии с Письмом ФАС России №АЦ/37487/14 от 17.09.2014 г. в случае заключения контракта со следующим участником у Заказчика должна быть заблокирована возможность для подписания контракта на срок 10 дней с момента признания победителя уклонившимся от заключения контракта. В целях обеспечения возможности победителю электронного аукциона воспользоваться правом на обжалование действий Заказчика, отказавшегося от заключения контракта, ФАС России считает целесообразным блокирование Оператором Электронной площадки Заказчику возможности подписания контракта с Участником электронного аукциона, признанным победителем такого аукциона в соответствии с частью 14 статьи 70 Закона о контрактной системе, в течение десяти дней с даты признания победителя уклонившимся от заключения контракта.На площадке, в случае заключения контракта со следующим Участником, у Заказчика кнопка "Принять и подписать итоговый контракт" / "Подписать контракт" будет скрыта до истечения 10-дневного срока с момента признания победителя уклонившимся от заключения контракта."	Editorial
Заключение контракта по результатам электронного аукциона 	**Статья:** [Статья 70. Заключение контракта по результатам электронного аукциона](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Отмена согласования контракта с контролирующим органом 	**Нормативная правовая база: **[498-ФЗ от 31 декабря 2014 г.](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1154)**Содержание нормативной правовой базы:**Отменено согласование контракта контролирующим органом.*   Если аукционная комиссия опубликовала протокол подведения итогов или протокол рассмотрения единственной заявки 31 декабря 2014г. и позднее, то дальнейшие действия должны осуществляться в соответствии с Законом № 498-ФЗ, т.е. без согласования в контролирующем органе;\n*   Если  протокол подведения итогов или протокол рассмотрения единственной заявки был опубликовраньше 31 декабря 2014г., то необходимость согласования сохраняется.	Editorial
Максимальный срок заключения контракта 	**Нормативная правовая база: **Гражданский кодекс РФ**Содержание нормативной правовой базы:**В соответствии с п.4. ст. 528 ГК РФ максимальный срок заключения контракта составляет 20 дней с момента публикации протокола подведения итогов .Крайний срок заключения контракта по ГК РФ на электронной площадке будет заканчиваться в 23:59 по времени Заказчика.	Editorial
Причины признания Участника уклонившимся от подписания контракта 	Победитель электронного аукциона признается уклонившимся от заключения контракта в случаях:1.  В соответствии с ч.13 ст. 70 44-ФЗ победитель электронного аукциона в сроки, предусмотренные ст. 70 44-ФЗ, не направил Заказчику проект контракта, подписанный лицом, имеющим право действовать от имени Победителя такого аукциона;\n2.  Направил протокол разногласий, предусмотренный ч. 4 ст. 70 44-ФЗ, по истечении тринадцати дней с даты размещения в единой информационной системе протокола подведения итогов;\n3.  Не исполнил требования, предусмотренные ст. 37 44-ФЗ (в случае снижения при проведении такого аукциона цены контракта на двадцать пять процентов и более от начальной (максимальной) цены контракта);\n4.  В соответствии с ч. 5 ст. 96 44-ФЗ непредоставление Участником закупки, с которым заключается контракт, обеспечения исполнения контракта в срок, установленный для заключения контракта.	Editorial
Количество протоколов разногласий 	<strong style="line-height:1.6">Статья: **[Статья 70. Заключение контракта по результатам электронного аукциона](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)\n\n</strong>**Содержание статьи:**ч.5 ст. 70 Размещение Заказчиком проекта контракта с указанием в отдельном документе причин отказа, содержащиеся в протоколе разногласий, замечания победителя такого аукциона допускается при условии, что победитель аукциона разместил протокол разногласий не позднее чем в течение тринадцати дней с даты размещения протокола подведения итогов.	Editorial
Основание для  формирования и направления контракта Уполномоченным органом за Заказчика 	**Статья:** [Статья 26 Централизованные закупки](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**п.1 ст. 26 Не допускается возлагать на уполномоченные органы, уполномоченные учреждения полномочия на обоснование закупок, определение условий контракта, в том числе на определение начальной (максимальной) цены контракта и подписание контракта. Остальные  полномочия определяются установленными решениями о создании таких уполномоченных органов, уполномоченных учреждений или о наделении их указанными полномочиями. 	Editorial
Причины отказа от заключения контракта  	**Нормативная правовая база: **[Статьи 31, 37, 70, 96 ](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание нормативной правовой базы:**	Editorial
Изменение, расторжение контракта 	**Статья:** [Статья 95  Изменение, расторжение контракта](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Основные отличия 44-ФЗ от 94-ФЗ	"В 44-ФЗ сохранены существующие правовые основы договорных отношений в общественном секторе. Закон не вносит радикальных изменений в порядок проведения базовых видов закупочных процедур - открытого конкурса и электронного аукциона. Сохранены основания применения и особенности закрытых способов размещения заказа, а также закупок у единственного поставщика (подрядчика, исполнителя).К важнейшим новациям Закона №44-ФЗ следует отнести:*   Определение этапов "закупочного цикла";\n*   Создание единой информационной системы в сфере закупок;\n*   Введение контрактной службы (контрактного управляющего);\n*   Введение двух этапов планирования (план закупок, план график);\n*   Расширение перечня способов определения поставщиков;\n*   Изменение и усовершенствование существующих процедур закупок.Например, по электронному аукциону:*   Извещение о проведении электронного аукциона размещается не менее чем за 15 дней до даты окончания срока подачи заявок, если НМЦК превышает 3 млн. руб.;\n*   Внесение изменений в извещение возможно не позднее чем за два дня до даты окончания срока подачи заявок;\n*   Отказаться от проведения закупки Заказчик вправе не позднее чем за 5 дней до даты окончания подачи заявок, даже если НМЦК превышает 3 млн. руб.;\n*   Заказчик обязан ответить на запрос на разъяснение документации, если такой запрос поступил к Заказчику не позднее чем за 3 дня до окончания срока подачи заявок, даже если НМЦК превышает 3 млн. руб.;\n*   Срок рассмотрения 2-х частей заявок - не более 3 рабочих дней со дня размещения на электронной площадке протокола аукциона;\n*   Подписание проекта контракта осуществляется через ЕИС;\n*   3-х дневные сроки направления ответов по протоколам разногласий и подписания Заказчиком проекта контракта указаны теперь в рабочих днях;\n*   В случае если электронный аукцион признан несостоявшимся в связи с тем, что ни один из его Участников не подал ценовое предложение, вторые части заявок Участников, допущенных по первым частям, направляются Заказчику. По итогам рассмотрения контракт заключается с допущенным Участником, заявка которого подана раньше по времени.Для получения более подробной информации пользователю необходимо проконсультироваться со своим юристом."	Editorial
Основные отличия 44-ФЗ от 223-ФЗ 	Отличия 44 и 223-ФЗВ соответствии с нормами 44 и 223-ФЗ Заказчик сам определяет на каких площадках осуществлять закупочную деятельность.	Editorial
Заказчики и поставщики 	**Статья:** [Статья 3. Основные понятия, используемые в настоящем Федеральном законе](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**	Editorial
Реестр Участников электронного аукциона 	**Статья:** [Статья 62. Реестр участников электронного аукциона, получивших аккредитацию на электронной площадке](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи:**<div class="block" id="block_6228">\n\n</div>	Editorial
Площадки для проведения закупок в соответствии с 44-ФЗ 	**Статья: **[Статья 112. Заключительные положения](http://moodle.sibir.rts-tender/mod/resource/view.php?id=1207)**Содержание статьи: **ч. 10 ст. 112 44-ФЗ со дня вступления в силу настоящего Федерального закона до даты начала функционирования Операторов электронных площадок, прошедших отбор в соответствии с частью 4 статьи 59 настоящего Федерального закона, закупки товаров, работ, услуг путем проведения электронных аукционов осуществляются на ранее прошедших отбор электронных площадках.При этом на такие площадки не распространяются положения части 8 статьи 44 настоящего Федерального закона и сохраняется порядок функционирования таких площадок, ранее установленный федеральным органом исполнительной власти, осуществляющим нормативное правовое регулирование в сфере размещения заказов, совместно с федеральным органом исполнительной власти, уполномоченным на осуществление контроля в сфере размещения заказов, до дня вступления в силу настоящего Федерального закона.Электронные аукционы, извещения о проведении которых размещены в единой информационной системе до даты начала функционирования Операторов электронных площадок, прошедших отбор в соответствии с частью 4 статьи 59 настоящего Федерального закона, проводятся на таких ранее отобранных электронных площадках. Заключение контрактов по результатам указанных аукционов осуществляется на таких электронных площадках. Федеральный орган исполнительной власти по регулированию контрактной системы в сфере закупок вправе установить особенности прекращения функционирования ранее прошедших отбор электронных площадок, в том числе в части возврата Участникам закупок денежных средств, внесенных в качестве обеспечения заявок на участие в электронных аукционах.	Editorial
